id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,price_period,title,description,property_type,operation_type
+Q7zYQx9mS7O+0FvIC/2pw==,Propiedad,02/01/2020,05/07/2020,02/01/2020,-31631442,-60700858,Argentina,Santa Fe,Santa Fe,,,,3,2,1,75,70,,,Mensual,PILAY de 2 dormitorios al frente alquilado,Corredor Responsable: Marcos Provvidenti - CCI Sta Fe N 0198Contacto: Julieta Piccioni - MLS ID # 420121147-107<br><br>Marcos Provvidenti CCI Santa Fe Mat: N º0198<br><br>Departamento de 2 dormitorios en piso 14 al frente. Consta de 70 m2 más el balcón. Hermosa vista y excelente ubicación a sólo 4 cuadras de Boulevard. La cocina se encuentra sectorizado junto con lavadero. Los dormitorios constan de placares y el balcón cuenta con asador. Se encuentra alquilado hasta OCTUBRE 2020,Departamento,Venta
Riogz/js6MuymhwLDBqspQ==,Propiedad,02/01/2020,27/06/2020,02/01/2020,-31624526,-6071238,Argentina,Santa Fe,Santa Fe,,,,4,2,1,440,158,,,Mensual,Casa en venta 2d en B° Ciudadela a reciclar.,"Corredor Responsable: Lorena De Luca - CCI Santa Fe N° 0360Contacto: Pedro Brunet - MLS ID # 420781056-9Corredor:<br>Lorena De Luca Matricula N°0360<br><br>Todas las propiedades que figuran en mi perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán exclusivas por el.<br><br>Casa en venta 2d en B° Ciudadela a reciclar, ubicada a 150 metros de Avenida Lopez y Planes sobre calle Gobernador Freyre entre Pedro Ferre y Pedro Zenteno. <br>El inmuebles se compones de 2 dormitorios amplios, cocina comedor, living, lavadero, cochera; el estado del inmueble es a reciclar. Una de las fortalezas es el amplio terreno que tiene la propiedad, que posee una superficie total de 440 m2, lo que lo torna una oportunidad Ideal para inversionista que deseen reciclar casa o aprovechar el amplio terreno para realizar algún proyecto.",Casa,Venta
htvql3jHG3tA9aTkIGNBLw==,Propiedad,02/01/2020,12/07/2020,02/01/2020,-3.16556E+11,-6.07068E+11,Argentina,Santa Fe,Santa Fe,,,,5,2,1,65,60,,,Mensual,Departamento 2 dormis + cochera Zona Sur Permuta,"Corredor Responsable: Caroline Hogner - CCI Sta Fe N 0042Contacto: Martin Cafferatto - MLS ID # 261107-157Caroline Högner CCI Santa Fe Mat N°0042<br><br><br><br>Departamento ubicado en el primer piso que se accede por escalera con orientación cardinal Norte.<br>Cuenta con living-comedor con ventilación al frente muy luminoso, cocina-comedor, lavadero y patio. Luego, desde el living, salimos al espacio íntimo donde se denotan los dormitorios que ventilan al Norte y al Sur respectivamente, ambos ventilados e iluminados naturalmente y baño completo con ducha. <br>Los pisos son de baldosa granítica y cerámicos en el interior y baldosa cerámica roja en su exterior. La unidad cuenta con su respectiva cochera.<br>SE PERMUTA POR DEPARTAMENTO DE UN DORMITORIO BIEN UBICADO.",Departamento,Venta
oDTJZ5NWZ1wnwjJdW/WEfw==,Propiedad,02/01/2020,29/01/2020,02/01/2020,-31627591,-60699904,Argentina,Santa Fe,Santa Fe,,,,2,,,200,200,35000,ARS,,Muy buen Galpón y/o Deposito con Oficina.,"Corredor Responsable: Marcos Provvidenti - CCI SANTA FE MAT N 0198Contacto: Debora Fernandez - MLS ID # 420811057-2Se alquila Galpón con excelente ubicación y buen estado.Contiene oficina y entrepiso.<br>Esta ubicado en la calle Pedro Zenteno orientación Norte a mitad de cuadra. A 50 metros de  Aristobulo del Valle y 50 metros de Pedro Vittori, con fácil acceso a las principales arterias de la ciudad. A dos cuadras de la calle Iturraspe que es la continuación a la Autopista Rosario- Santa Fe.<br>Se encuentra a 7 cuadras de Boulevard Gálvez. Zona de alto transito y fácil acceso lo que lo hace adecuado para transportes, correos, distribuidoras, etc.<br><br>",Depósito,Alquiler
9jQKT+eA/pxk4/iDCLChbw==,Propiedad,02/01/2020,09/02/2020,02/01/2020,-3165542,-60724483,Argentina,Santa Fe,Santa Fe,,,,3,3,1,192,151,1800000,ARS,,Casa en venta con gran terreno cerca de avenidas.,"Corredor Responsable: Marcos Provvidenti - CCI Sta Fe N 0198Contacto: Jorgelina Raselli - MLS ID # 420121141-126<br><br>Marcos Provvidenti CCI Santa Fe Mat: N º0198<br><br>La propiedad se encuentra sometida a régimen de propiedad horizontal (PH). Su estado es a reciclar (no a demoler). Posee loza en el sector living, estar, comedor y dormitorio principal.<br>Desarrollada en su totalidad en planta baja, cuenta con un hall de ingreso, que hace de distribuidor, living, comedor diario, cocina, baño y dos dormitorios. Posee patio verde de buenas dimensiones.<br>La propiedad cuenta con los planos correspondientes.<br>Dicha propiedad tiene buena proyección, su estructura es sólida y da la posibilidad de agregar una cochera<br>",Casa,Venta
kiJUMMLR3KqJSxUgIgQ6eg==,Propiedad,02/01/2020,23/02/2020,02/01/2020,-31600579,-60675302,Argentina,Santa Fe,Santa Fe,,,,4,2,2,785,169,9100000,ARS,,SE VENDE CASA EN  BARRIO GUADALUPE DOS DORMITORIOS,"Corredor Responsable: Marcos Provvidenti - CCI Sta Fe N 0198Contacto: Jorgelina Raselli - MLS ID # 420121141-127<br><br>Marcos Provvidenti CCI Santa Fe Mat: N º0198<br><br>Casa en barrio Guadalupe, a pocos metros de Av. Gral Paz. La misma se desarrolla en una sola planta sobre un terreno de generosas dimensiones. Detrás de la puerta de ingreso nos encontramos con el living comedor con hogar para calefaccionar en invierno, una puerta de doble hoja oficia de separador de la cocina comedor, dando la opción de sectorizar el living o convertirlo en un solo ambiente integrado, dando una sensación de mayor amplitud. Cuenta con lavadero cubierto, quincho semicubierto con asador y pileta. Galería semicubierta que oficia de garaje. Toda la casa tiene una correcta distribución, resultando la misma luminosa y con buena ventilación.",Casa,Venta
GUElMBjSEd19w3It5VZKPg==,Propiedad,02/01/2020,27/06/2020,02/01/2020,-31648265,-60715466,Argentina,Santa Fe,Santa Fe,,,,2,1,1,45,40,74000,USD,,"Dpto 1 dorm. al frente, a estrenar c/ balcón",Corredor Responsable: Marcos Provvidenti - CCI SANTA FE MAT N 0198Contacto: Guido Valentini - MLS ID # 420811053-2Departamento a estrenar con balcón al frente. 45m2 de superficie total. 1 dormitorio con placard. Estar comedor. Cocina y lavadero independientes. Iluminación LED en todos los ambientes. Moderno y con muy buena ventilación e iluminación natural.,Departamento,Venta
HVVf6sTRUdW13cgPXgNXAw==,Propiedad,02/01/2020,27/06/2020,02/01/2020,-31651409,-60711136,Argentina,Santa Fe,Santa Fe,,,,2,1,1,64,55,30000,USD,,Vendo dpto plan Pilay Adjudicado en Centro,"Corredor Responsable: Marcos Provvidenti - CCI SANTA FE MAT N 0198Contacto: Emilia Niedermayer - MLS ID # 420811027-35Venta de plan pilay ADJUDICADO Y A ENTREGARSE EN EL PRIMER SEMESTRE DE 2020, a estrenar, de un dormitorio, contrafrente en pleno centro de la ciudad, en calle 9 de julio entre Lisandro de la Torre y Juan de Garay.<br>A tener en cuenta:<br><br>* Cantidad de cuotas totales del plan: 280 cuotas<br><br>* Total de cuotas pagadas a diciembre: 111 cuotas<br><br>-  Cuotas ordinarias pagadas 95 Cuotas + aguinaldo 16 pagos<br><br>* Valor de la cuota ordinaria (Diciembre 2019): $9073<br><br>",Departamento,Venta
8qfv9NPlQWMr8pGv9frX1g==,Propiedad,02/01/2020,14/07/2020,02/01/2020,-3.16487E+11,-6.07146E+11,Argentina,Santa Fe,Santa Fe,,,,5,2,2,159,92,78000,USD,,VENDE AMPLIA PLANTA ALTA A METROS DE LA MUNI.,"Corredor Responsable: Marcos Provvidenti - CCI Sta Fe N 0198Contacto: Jorgelina Raselli - MLS ID # 420121141-124<br>Marcos Provvidenti CCI Santa Fe Mat: N º0198<br><br>Propiedad desarrollada en planta alta, totalmente independiente de la planta baja.<br>Cuenta con dos dormitorios muy amplios con balcón que los conecta al frente. Amplio estar comedor , cocina sectorizada, amplio baño con bañera, patio seco pequeño con espacio para sector de lavadero, por el cual se accede al piso de arriba, tercer piso, desde el patio por escalera a cielo abierto. En el mismo encontramos un cuarto de servicio o deposito y un ambiente con cerramiento de  aberturas de vidrio repartido estilo jardín de invierno con asador. <br><br>La propiedad es habitable, a modernizar, refaccionar.<br>Posee amplios ambientes  e iluminación natural en todos los sectores. <br>Se evalúa posibilidad de permuta por departamento o casa de menor valor entre boulevares en buen estado de mantenimiento.<br><br>",Casa,Venta
BO2NHt0KbIwkEBjpNc3ySw==,Propiedad,02/01/2020,13/09/2020,02/01/2020,-31650715,-60718002,Argentina,Santa Fe,Santa Fe,,,,6,3,1,154,154,115000,USD,,3 dormitorios - amplio PH de 154 m2 en planta baja,Corredor Responsable: Marcos Provvidenti - CCI SANTA FE MAT N 0198Contacto: Guido Valentini - MLS ID # 420811053-4Departamento en PH - Planta Baja con cochera.<br>3 dormitorios<br>Living comedor<br>Cocina comedor diario<br>Lavadero cubierto<br>2 baños<br>Patio<br>,Departamento,Venta
